,start_time,end_time,duration_minutes,n_points,peak_score
176,2017-02-09 13:00:00,2017-02-09 13:00:00,5,1,6.010027582062078
177,2017-02-09 16:15:00,2017-02-09 16:20:00,10,2,9.471813584876205
178,2017-02-09 21:50:00,2017-02-09 21:50:00,5,1,5.212045445069036
179,2017-02-09 23:25:00,2017-02-09 23:35:00,15,3,15.49812051107618
180,2017-02-10 05:40:00,2017-02-10 06:00:00,25,5,9.849325285382802
181,2017-02-10 08:55:00,2017-02-10 09:20:00,30,6,5.876500947903683
182,2017-02-10 19:40:00,2017-02-10 19:40:00,5,1,19.595560633863776
183,2017-02-10 23:15:00,2017-02-10 23:25:00,15,3,21.23792142149031
184,2017-02-11 03:10:00,2017-02-11 03:10:00,5,1,5.615068369669777
185,2017-02-11 04:50:00,2017-02-11 05:05:00,20,4,5.3045571322648195
186,2017-02-11 08:25:00,2017-02-11 08:50:00,30,6,10.241462159394231
187,2017-02-11 10:50:00,2017-02-11 10:50:00,5,1,5.0917418450589
188,2017-02-11 12:30:00,2017-02-11 13:20:00,55,11,8.701308422451143
189,2017-02-11 15:30:00,2017-02-11 15:30:00,5,1,5.530899995745472
190,2017-02-11 16:55:00,2017-02-11 16:55:00,5,1,6.164784941817375
191,2017-02-11 18:20:00,2017-02-11 18:20:00,5,1,6.805103953658257
192,2017-02-12 04:55:00,2017-02-12 04:55:00,5,1,5.093555158329595
193,2017-02-12 10:00:00,2017-02-12 10:00:00,5,1,6.1297967020719755
194,2017-02-12 13:25:00,2017-02-12 13:25:00,5,1,8.476721900587972
195,2017-02-13 08:00:00,2017-02-13 08:00:00,5,1,6.543608998536829
196,2017-02-13 11:55:00,2017-02-13 11:55:00,5,1,5.684390455346687
197,2017-02-13 21:40:00,2017-02-13 21:40:00,5,1,5.947680593464085
198,2017-02-14 08:05:00,2017-02-14 09:05:00,65,13,7.611630293803929
199,2017-02-14 10:45:00,2017-02-14 10:45:00,5,1,8.066359702204505
200,2017-02-14 12:50:00,2017-02-14 13:30:00,45,9,8.698185326506128
201,2017-02-14 21:00:00,2017-02-14 21:00:00,5,1,6.381555822144872
202,2017-02-15 03:55:00,2017-02-15 03:55:00,5,1,7.604004470665396
203,2017-02-15 09:35:00,2017-02-15 10:30:00,60,12,6.581745214545454
204,2017-02-16 07:00:00,2017-02-16 07:00:00,5,1,5.380404618057262
205,2017-02-16 10:45:00,2017-02-16 10:45:00,5,1,5.486328933433735
206,2017-02-16 13:00:00,2017-02-16 13:05:00,10,2,5.539440072393498
207,2017-02-16 15:55:00,2017-02-16 15:55:00,5,1,5.026301079994301
208,2017-02-16 20:45:00,2017-02-16 20:45:00,5,1,7.075253100290122
209,2017-02-16 22:00:00,2017-02-16 23:40:00,105,21,5.961830548931271
210,2017-02-17 09:25:00,2017-02-17 09:25:00,5,1,6.248955151346265
211,2017-02-17 11:25:00,2017-02-17 11:55:00,35,7,5.331737617341159
212,2017-02-17 15:25:00,2017-02-17 15:25:00,5,1,5.93423736774323
213,2017-02-17 19:50:00,2017-02-17 20:00:00,15,3,6.1551330704865
214,2017-02-17 22:10:00,2017-02-17 23:00:00,55,11,6.933381063447786
215,2017-02-18 01:40:00,2017-02-18 01:40:00,5,1,5.183797748149331
216,2017-02-18 05:35:00,2017-02-18 05:35:00,5,1,16.549472366547228
217,2017-02-18 09:10:00,2017-02-18 09:10:00,5,1,5.1992708279173865
218,2017-02-18 17:20:00,2017-02-18 17:35:00,20,4,5.164093257266367
219,2017-02-19 00:20:00,2017-02-19 00:50:00,35,7,6.22021738561069
220,2017-02-19 03:05:00,2017-02-19 03:45:00,45,9,6.704071598687307
221,2017-02-19 10:45:00,2017-02-19 10:55:00,15,3,7.449783661306354
222,2017-02-19 13:25:00,2017-02-19 13:25:00,5,1,6.936992504167089
223,2017-02-19 17:45:00,2017-02-19 17:45:00,5,1,7.1304285659957864
224,2017-02-19 20:30:00,2017-02-19 20:30:00,5,1,9.932836571742982
225,2017-02-20 00:45:00,2017-02-20 00:45:00,5,1,5.269144490578741
226,2017-02-20 02:40:00,2017-02-20 03:00:00,25,5,6.82027901176759
227,2017-02-20 06:35:00,2017-02-20 06:35:00,5,1,5.405433562653521
228,2017-02-20 10:25:00,2017-02-20 10:25:00,5,1,5.4928669673491
229,2017-02-20 12:35:00,2017-02-20 12:35:00,5,1,6.63530109695667
230,2017-02-20 23:10:00,2017-02-20 23:10:00,5,1,5.792250534952632
231,2017-02-21 06:40:00,2017-02-21 06:40:00,5,1,7.469164252367798
232,2017-02-21 08:30:00,2017-02-21 09:00:00,35,7,6.371872334400441
233,2017-02-21 11:30:00,2017-02-21 11:30:00,5,1,5.443592454772034
234,2017-02-21 15:35:00,2017-02-21 17:10:00,100,20,7.603012607132955
235,2017-02-21 22:40:00,2017-02-21 22:40:00,5,1,7.5720251205546685
236,2017-02-21 23:55:00,2017-02-21 23:55:00,5,1,9.016214593790876
237,2017-02-22 05:25:00,2017-02-22 05:40:00,20,4,10.450130108355548
238,2017-02-22 12:35:00,2017-02-22 12:45:00,15,3,11.404640717125156
239,2017-02-22 19:30:00,2017-02-22 19:30:00,5,1,5.139860754288822
240,2017-02-22 22:30:00,2017-02-22 22:30:00,5,1,5.67464589915864
241,2017-02-23 02:20:00,2017-02-23 02:20:00,5,1,6.058543271716957
242,2017-02-23 06:25:00,2017-02-23 07:55:00,95,19,12.491465885346054
243,2017-02-23 09:05:00,2017-02-23 09:05:00,5,1,7.157991715615319
244,2017-02-23 10:45:00,2017-02-23 11:55:00,75,15,5.580757298859709
245,2017-02-23 15:30:00,2017-02-23 15:30:00,5,1,5.911348301322766
246,2017-02-23 23:25:00,2017-02-23 23:25:00,5,1,16.688729361342965
247,2017-02-24 00:50:00,2017-02-24 01:15:00,30,6,5.928619796191553
248,2017-02-24 06:05:00,2017-02-24 06:05:00,5,1,5.141214161793446
249,2017-02-24 10:50:00,2017-02-24 11:20:00,35,7,12.062471930964131
250,2017-02-24 14:00:00,2017-02-24 15:10:00,75,15,12.152154180515106
251,2017-02-24 17:50:00,2017-02-24 20:20:00,155,31,18.60105079882339
252,2017-02-24 21:30:00,2017-02-24 23:50:00,145,29,146.28688391345247
253,2017-02-25 03:20:00,2017-02-25 08:05:00,290,58,63504174999.99999
254,2017-02-25 10:15:00,2017-02-25 10:35:00,25,5,281.940998291256
255,2017-02-25 11:40:00,2017-02-25 11:40:00,5,1,10.560877619915898
256,2017-02-25 13:40:00,2017-02-25 13:50:00,15,3,8.708544438915288
257,2017-02-25 15:15:00,2017-02-25 18:05:00,175,35,15.4115628487538
258,2017-02-25 21:15:00,2017-02-25 21:15:00,5,1,5.788632378882334
259,2017-02-26 08:20:00,2017-02-26 09:05:00,50,10,8.97354799641058
260,2017-02-26 16:00:00,2017-02-26 16:00:00,5,1,7.87938635712451
261,2017-02-26 17:05:00,2017-02-26 19:35:00,155,31,10.576997173158697
262,2017-02-26 20:50:00,2017-02-26 21:05:00,20,4,12.130301368113866
263,2017-02-26 22:25:00,2017-02-26 23:10:00,50,10,12.960160193323901
264,2017-02-27 00:40:00,2017-02-27 00:40:00,5,1,8.667966700070187
265,2017-02-27 01:50:00,2017-02-27 04:10:00,145,29,10.553584187518242
266,2017-02-27 06:25:00,2017-02-27 08:15:00,115,23,14.581102930455238
267,2017-02-27 09:20:00,2017-02-27 09:25:00,10,2,9.221993615059143
268,2017-02-27 11:00:00,2017-02-27 11:10:00,15,3,13.671821734375019
269,2017-02-27 12:45:00,2017-02-27 12:45:00,5,1,7.384580378788499
270,2017-02-27 14:10:00,2017-02-27 16:10:00,125,25,7.4382181789710184
271,2017-02-27 18:10:00,2017-02-27 19:10:00,65,13,17.22464763944661
